transaction_id,customer_id,transaction_dt,amount,payment_method,status,notes
a4d8adeb-b1ec-4bc4-bfe3-1489e1b63320,a8cfc9ee-f60d-40af-8111-a6c7a143cfad,2024-08-01 23:31:22,87.29,ACH,Settled,tempor minim commodo consectetur elit sed sed do
d7be68ec-49ca-492a-9580-af5fe2a849ed,c5ad0091-4dec-4e56-b1d7-6086c061060a,2024-03-08 04:38:08,8.55,Credit Card,Settled,labore eiusmod ad sit ad ullamco incididunt ut
c06295d0-3a73-4f0a-9d40-e75689b27c71,c027b074-3e90-4a93-8428-24a9a9a69544,2025-07-27 21:09:32,18.06,Cash,Settled,lorem labore quis adipiscing et laboris consectetur eiusmod
c664ea28-a97e-448f-9940-ab1118cae952,6bea2fd4-e792-4051-be6b-05b14bc949dd,2024-05-09 07:16:37,122.15,Credit Card,Settled,nostrud ipsum ut eiusmod sed lorem aliqua consequat
f257b3da-cad2-4dbd-bdda-2ceeb1081c80,794f1981-d456-492d-930e-126b2a9d7dfb,2024-08-13 07:53:56,19.37,Credit Card,Settled,enim ad enim dolor quis magna labore consequat
6f0accdf-d26d-4ebf-9052-ded6b53e5962,e922dd4a-c3c1-4df4-9ee4-c757e5814ed8,2025-06-22 18:13:33,91.35,ACH,Settled,exercitation ex labore tempor ea exercitation sit ut
3b6c83de-bb26-4d7f-b8df-1f22ac4e856c,1c3675cf-3404-48cc-9fec-45b2d1553714,2025-05-18 03:58:45,32.78,Credit Card,Settled,ipsum incididunt sed tempor ut sit dolore tempor
47ea0cad-92ba-4c7c-b948-a299157b2516,fcdad9e6-480f-4f8f-b370-85482fa5f36d,2025-08-16 13:42:52,84.39,ACH,Pending,amet eiusmod labore ad ullamco sed ut consectetur
da0acf55-f348-4ee7-9fe3-5ba11738cdfa,fa07b611-0b88-43ad-90f3-dd10eca76d87,2025-01-24 21:15:21,23.02,Credit Card,Settled,adipiscing ullamco incididunt tempor sed ut et tempor
880e3edf-206e-46bd-90b8-62caa37dee23,c6dfba01-9646-4a67-808f-8d2e6c269b9c,2025-06-17 05:18:25,32.46,Debit Card,Settled,commodo amet et et ea labore exercitation nostrud
e7829b30-d6ec-4d85-af14-4c21a74a4f4b,a2024d1a-f31b-4618-a524-9f60a21c8984,2025-03-12 01:18:06,13.77,Debit Card,Settled,incididunt adipiscing ipsum dolor ullamco sit enim incididunt
35c8df95-92b6-4b32-941d-b44846b501c3,ca1485c9-d3ed-4897-96e2-f73cd606298d,2024-02-08 19:33:16,88.69,ACH,Settled,lorem ea aliqua incididunt veniam elit eiusmod minim
179801a2-2a3f-447e-a465-18cee237c1c2,b6c101a2-6f01-4ad0-b0c6-9c224924e7ff,2024-04-20 12:31:27,96.95,Credit Card,Settled,ipsum minim labore do consectetur quis ipsum minim
7258e9e3-0d54-4c07-a0e8-b74c1460d625,226d1bc3-0cd2-4d30-81a2-1231a18eca31,2024-09-03 23:29:49,22.38,Credit Card,Settled,ad dolore amet lorem ullamco elit ullamco consectetur
62058a21-5345-43fd-b609-5218b44ba2d9,58a5f265-5e95-4867-9b52-726ace874cb4,2025-07-18 15:26:39,44.1,ACH,Settled,dolore enim minim elit magna ea et amet
6d4c5f4b-67d6-46c3-80f0-2e97f6e15f0c,9fb692a5-8b84-4bf2-90dc-56946457f84c,2024-01-26 19:27:44,28.86,Credit Card,Settled,et ut laboris laboris ea ipsum dolore amet
05385ea7-8b50-492c-8653-0e01a12bd1ae,7176fe12-2140-494c-8290-411d4eeecf67,2024-10-24 19:31:58,59.2,ACH,Settled,enim ex et commodo adipiscing aliqua nostrud ut
b966fd08-fbb8-4fdb-a5e0-c5a4c694cd00,2b798f16-f1b2-421b-9b7a-734a96ae1e66,2025-04-04 01:35:21,58.64,Credit Card,Settled,consectetur sed exercitation incididunt ullamco ipsum ipsum elit
486763da-c8c8-4829-9c6e-c8e0171b88ae,06978e68-7e6c-44ba-84ae-56ee529176f8,2024-09-05 21:07:22,28.71,Cash,Settled,ullamco aliqua tempor sed aliqua tempor exercitation adipiscing
fd7682a2-01dd-4c39-bf0a-c2b7ca5c90e3,01cc9756-f5de-4cc8-8ced-e702b3bf1870,2024-05-23 11:38:22,113.76,Credit Card,Settled,ea ut dolore eiusmod magna elit dolor amet
904a7d8b-6ed9-4b5c-af0d-10a5f6a6d2cf,7ce14908-fa10-42c5-9a43-3533528ab61e,2025-01-02 18:00:00,46.47,Credit Card,Settled,ex ut laboris dolore ex dolore tempor nisi
65d13232-334e-44eb-9502-16c45d6e0341,4fb4cd8a-ce51-49c7-ab7f-39698734c243,2024-04-25 17:52:32,26.01,ACH,Settled,minim ea amet labore consequat ullamco do lorem
9fd181a6-a23d-41e7-996d-f9f865c62b4e,62662220-be2f-44e9-bce7-a1f195273446,2025-07-17 01:27:12,126.9,Debit Card,Settled,consectetur ullamco nisi adipiscing consectetur lorem incididunt consectetur
53c5f14a-e998-45f7-ba9e-991429a99ecf,7176fe12-2140-494c-8290-411d4eeecf67,2024-07-06 17:35:02,36.66,Debit Card,Settled,tempor consequat incididunt consectetur elit enim ipsum ut
74afebc5-382f-4252-b9a8-1e41ec249895,e401a487-5632-4c15-a3a8-2e9dc6368df4,2024-11-10 04:45:21,40.36,Debit Card,Settled,commodo minim ut minim sed dolor enim consequat
0e8dfd58-ba60-41aa-b6f8-1020da1b7c7c,92f08124-a7b7-4c37-a06b-67d32a23926e,2025-06-06 22:06:28,139.09,Credit Card,Settled,eiusmod minim consequat tempor ea commodo ut ipsum
b21a955d-c79f-4e74-aa78-dc04deb75eea,fb599d57-d1e6-483a-9293-dcabf99875c0,2025-04-15 14:38:13,74.65,Credit Card,Settled,enim consequat aliqua veniam tempor consequat ad adipiscing
13ceef9f-8075-4027-aca7-75ff2b7963ac,29065529-b53b-480c-a524-6143599c9fee,2025-03-02 13:47:14,36.34,Credit Card,Settled,eiusmod dolor tempor consectetur ut nostrud ullamco commodo
468be0ee-b7b5-46f0-81c8-4a4346d99a93,b9e6715d-f81d-4045-bf45-2f8b0d353c48,2024-10-21 17:45:18,44.41,ACH,Settled,ut minim sed amet dolore adipiscing lorem veniam
1ccdc119-42b4-4fe5-8caf-08fccec77ec1,b71da1ee-e18a-4891-9e55-ca99874f65c3,2024-08-31 10:26:24,74.64,Credit Card,Pending,magna exercitation sed sed sed aliqua ipsum consequat
757bd740-a209-4644-a72a-7243645bcdef,a67c401a-2b07-494e-80a8-0678ca7c52d6,2025-02-19 13:56:12,33.02,Credit Card,Settled,ut ullamco quis consectetur minim ipsum aliquip labore
2cb49487-ae2a-4163-90dd-c21b9fcece0f,06081d88-4467-4cc8-97e7-174bbfeddd83,2025-05-20 19:48:08,13.03,Credit Card,Settled,dolor sed nisi amet minim consequat sed minim
1e77e9ac-031b-42a0-a247-bbc33a4da110,9fd7e9d1-c823-4179-aca1-16304c0ce6db,2025-07-29 00:56:00,65.15,Credit Card,Settled,lorem laboris incididunt ea nisi aliquip lorem ut
370d1cfa-fb00-49cc-8daa-ea502c0aa50d,9a8cbaf7-53fc-41c9-9afe-d58a1d2e3d6d,2024-02-04 16:39:53,77.14,Debit Card,Settled,sed consequat nisi aliqua ipsum dolor ut sit
ac459ce9-ad53-4196-9d49-20f01978ff38,2e73af43-89b1-4f73-848e-96cf0fb62c0a,2024-01-26 07:20:35,94.34,ACH,Pending,aliquip sed aliqua minim do dolor ad veniam
79af30a2-843e-43b4-926c-e645b60629a7,f482eb0e-9593-4e8d-a482-76742f658d15,2024-06-05 00:53:45,89.44,Credit Card,Settled,ut consectetur quis exercitation dolore ut ut lorem
cadcd78c-8523-4d27-aae4-f5374dfd49ef,d556b41c-4073-44c4-a8eb-45a7cc37fcc4,2024-05-13 12:36:56,31.83,Debit Card,Pending,ipsum eiusmod ea labore ut dolore enim nostrud
0d57324a-1fa3-40b0-bf3e-3d60ebcbf2d8,2d123a60-5a3e-4d9b-9163-1182f7ead54e,2024-11-07 13:00:09,23.17,Debit Card,Settled,consequat nisi nisi magna ut enim tempor enim
bb054bdb-95d1-4d00-a004-a6dbc80ddebd,4adcd0de-c2e2-451b-a285-d79d3d50db2a,2024-04-19 13:47:53,47.36,Credit Card,Pending,ut ex elit nostrud ad ullamco commodo enim
a91e85a3-5678-4c78-af03-94bc3cb86617,cfc6bb4c-45da-4748-b884-330c0ac3ef93,2024-06-16 09:51:43,131.09,Cash,Settled,labore ad consectetur tempor sit sit consectetur ut
aff4a1af-fe20-4b66-ab4f-4f5022dd7b16,7a9f72a9-616d-4807-a148-95298dcb9c53,2024-06-16 04:58:52,106.26,Credit Card,Settled,tempor consequat ullamco ullamco enim magna eiusmod do
6bd77869-da68-4c70-a776-005d19cdabea,885ba26c-db74-45b2-a93b-fd1a27dad271,2025-03-17 17:31:22,44.61,Cash,Declined,nisi tempor nisi ea aliquip ut commodo laboris
1c831e67-5a3c-4b47-b5e9-b7c96f11e9e8,a3001b38-1e2a-4cb4-86fa-19f71e144d2f,2024-12-26 09:20:05,124.18,Cash,Pending,nisi incididunt elit minim aliquip lorem quis ullamco
2020f369-7b00-4d73-8174-67824174a03a,28b96ca9-1c5f-4ee6-bc33-41235db74b48,2024-09-01 04:14:38,148.87,Credit Card,Settled,consequat ullamco commodo lorem elit sed incididunt sed
bab1ad9f-a247-43f5-8c80-2b93c086e429,c704ddae-5dc2-4f03-88e8-a9206052a8c7,2024-06-20 10:06:23,121.09,Credit Card,Pending,dolor incididunt dolor incididunt labore ut ut ea
f732f62b-f304-4ad9-8238-83ff9d2e4c29,d3bc4856-f40a-4e30-be43-79c26c59a643,2024-01-06 00:17:45,25.38,Credit Card,Settled,ad et aliqua ipsum laboris adipiscing eiusmod dolor
cb67b0b3-3b6c-40c9-86a4-6811a92c710b,fbf0725e-93be-434d-b011-9397c16105c9,2024-06-14 19:54:36,132.83,Debit Card,Settled,veniam ad tempor ut ad ut ut aliquip
a3481af2-a094-4bc1-a3b2-d7b52f5f50c2,9ef5c3e7-f0e2-4be6-a8a3-4decca7511f9,2024-12-30 16:37:00,7.85,Credit Card,Settled,ipsum ullamco veniam lorem tempor veniam minim veniam
d3010db1-56a6-4600-9bca-bad5daa778d3,71602301-f3c8-4e53-9d88-fa32e7cfbe5c,2024-09-20 09:06:26,91.28,ACH,Settled,dolore quis eiusmod labore ut commodo consectetur consectetur
b21eac52-bd8e-4a95-9ec4-18daecb79cc2,b4b2f80d-52d0-47c4-a1df-436e48ad18cd,2025-01-09 05:23:56,27.16,ACH,Pending,et sit sed consequat dolore consequat nostrud eiusmod
2ec20e93-4b87-49dc-a0ab-b99973b896dc,2d35f100-a9b8-4248-bca5-dd14a5a959cd,2025-05-20 16:42:22,3.5,Credit Card,Settled,tempor eiusmod ipsum sit do dolor ut minim
e7e64a84-5436-4940-b590-71576fdc0cc4,73c2db4a-cbf4-4ee9-a62b-a75d6bb5e373,2024-04-22 14:22:37,12.22,Credit Card,Settled,enim et sit et dolore ullamco elit consectetur
99f3ffba-175d-473c-bd2a-ef6a64848e27,e26cac8e-5a81-45a2-8239-21cb71fa8588,2025-03-10 19:45:07,24.61,Debit Card,Settled,quis veniam sed labore ut ullamco ex nisi
cdf6b921-d520-444c-a756-f22e8b812788,6acdc1fc-c48b-44fe-8a43-bbf44dbbf578,2024-11-19 08:58:50,52.98,Debit Card,Settled,ut ad nisi ut adipiscing consequat dolor tempor
400559d9-a7f9-4b41-932f-c55ef8f942de,7016932c-3dd4-45f3-9c72-0bbf1483974f,2024-06-02 17:07:19,33.99,Credit Card,Settled,ipsum et consectetur elit amet amet consectetur ipsum
bbe77c47-b1b0-4456-af71-3894223eac91,37e0785b-3ddc-496e-84e8-42c9fc930068,2024-07-28 01:20:11,132.24,Debit Card,Settled,quis sit ullamco tempor ut incididunt ex nisi
8ecbd47b-6f5d-464d-8e00-9476135a5e1d,a03d5430-9884-4a3f-a90e-b6532d926862,2024-02-29 04:22:36,42.45,Debit Card,Settled,dolor ut incididunt dolor ex consequat enim et
b44b320f-b530-4686-b4c6-41f4601e018e,707ddfc5-755d-4972-8cdf-0a8eee0fd601,2024-12-28 20:48:18,18.02,Credit Card,Settled,dolor eiusmod ut elit tempor incididunt sed eiusmod
84b8c3ca-07db-43f3-a448-d40ac45900a5,b3b83b84-3e18-4cb9-913f-3e6efc694fb0,2024-11-26 23:35:37,158.45,Cash,Settled,et ut ea commodo ipsum laboris nisi magna
849bdcca-f9c7-415f-ab54-c6eea97dbda4,163655ec-74d7-4574-aa1f-1184aaeb082a,2025-03-24 10:48:25,20.01,Cash,Settled,ut et ex adipiscing sed amet amet eiusmod
002d5450-ed58-438b-99fd-64d1ad063893,5ef26fa1-64cc-44ec-8f1e-ab4db705d03b,2024-07-01 22:06:40,63.34,Debit Card,Settled,aliqua quis tempor veniam sit amet incididunt ex
042e8b16-e6b9-4f97-9949-ebdafb1bdbd7,c7201edc-e602-4235-a0e0-e8c79a9cc0fa,2024-07-14 18:47:56,43.18,Debit Card,Settled,nisi eiusmod ad veniam et ut magna magna
64454a8f-3f36-4797-972d-3903b594e554,c3badfab-49bc-467a-a79b-d44ee6472fcd,2025-04-19 16:59:39,61.0,ACH,Settled,sed ut magna dolore nisi tempor ut ut
48d02490-05b3-4996-9591-34a3e9029619,0e68eaea-698f-40a0-b82f-26838a85e598,2024-01-23 16:52:00,63.1,ACH,Settled,quis sed commodo magna consequat consectetur sed quis
97ea66c8-f300-49de-8a09-3a11776e3607,559a4055-055f-4750-9a08-d6ea90239cf0,2025-02-02 13:11:31,160.4,Credit Card,Settled,ipsum ex adipiscing ut adipiscing ullamco ut ex
a270d767-b9ba-4a1f-82f4-50b0748c95e0,92f08124-a7b7-4c37-a06b-67d32a23926e,2024-11-05 20:54:19,123.28,Debit Card,Declined,consectetur nisi veniam et minim enim adipiscing ipsum
3e407611-5852-44fc-bb37-32a3a5af230f,5f6665bd-aee2-44e7-a075-27938f33b129,2024-04-02 16:48:23,129.02,Debit Card,Settled,ut labore ut dolor ut ut quis nisi
5e87627b-cabf-46f4-9423-e55a9b643ede,fb648a01-10ca-4dcf-b8ba-11589a05503e,2024-07-17 07:58:31,24.65,Credit Card,Settled,ullamco do ut ullamco ut adipiscing consectetur amet
c4b0c2dd-9888-407d-8944-4d7305b6310e,0f62e95e-35af-40b0-86a9-c1f45d4ad100,2024-09-14 10:52:43,148.2,Credit Card,Settled,aliqua ut incididunt consequat ad ullamco enim eiusmod
e69f7ede-e127-4205-be0b-a2884ef39fde,241927a6-fe12-4540-bc2a-2cd68abbe8ab,2024-04-15 12:03:11,55.23,Credit Card,Settled,amet ex dolor ut aliquip ea commodo ipsum
39ce8a75-1f04-4e0b-83ac-6127d5ea31d3,9190034c-79b8-470f-80c4-665bfe530931,2025-06-10 14:43:21,91.37,Credit Card,Settled,exercitation ut ipsum incididunt labore amet et commodo
fd70f1dd-e7f5-4548-a144-805e15a5d134,da295314-7acc-4c55-9c79-8c352b5719a7,2024-10-28 16:19:40,24.16,Credit Card,Settled,minim amet ut dolor incididunt exercitation consequat nostrud
7f16b9dc-80bd-4635-b833-16bfb539dda3,3d99c0fb-f95a-4e0f-96b9-a4cdeca59397,2025-08-02 19:10:49,20.45,Credit Card,Settled,veniam elit et ut aliqua nisi veniam nostrud
6c01294b-f33d-43a0-8377-8c7e8ca2a066,02708bc2-6e6f-4cf0-b4d2-9537c77720e3,2025-09-02 21:10:12,91.73,Cash,Settled,ex dolor ea enim ex aliqua nisi dolor
9926abde-ead5-40c7-a7a5-ee120cdb7f6f,c6df09af-bc48-4846-b018-8814463875d2,2025-07-27 09:04:46,10.33,ACH,Pending,quis ad dolor incididunt magna ut nostrud dolor
67c09f07-e5bd-4c8b-b975-25616edda30f,c55625cd-977e-4230-bf2f-43fa2e8aba96,2025-04-09 09:59:39,22.4,Debit Card,Settled,ut ex elit laboris do sit ea do
6b7455ca-2e4d-4c94-8847-67bdb5e759ab,bc53fbb0-fce8-44b4-bcc6-12f708573fb4,2024-06-26 23:23:59,21.32,Credit Card,Settled,quis laboris ut adipiscing ea aliquip sit veniam
f112ed64-d5fd-4d9f-a170-007dd284a74d,e2a302f3-c18d-40f5-97d5-bfff3ad8035e,2025-05-16 13:18:29,0.16,Credit Card,Settled,ea ullamco quis veniam labore amet minim eiusmod
2fa3c869-ec3a-4f90-9778-eb8825eaf51d,b1d5146e-505d-44c1-8bef-853f5673343b,2024-04-19 16:53:33,117.6,Credit Card,Settled,enim aliqua dolore do amet et sit aliqua
a73117b6-913d-430f-ae94-6f5c00831649,2c58eeb7-0150-4ede-9609-d4b5c2e00aca,2025-02-17 04:28:36,15.12,Credit Card,Settled,adipiscing nisi labore do sed veniam adipiscing enim
2e4f8826-a4f8-485f-9c85-e5b8842698a5,f9c0a52d-bd9c-4b6f-b0b1-953e73f1e77f,2025-01-30 14:56:32,32.7,Credit Card,Settled,aliquip tempor minim commodo magna aliquip elit lorem
5974bfd0-0120-4186-91b7-6fd5799e4973,e351be7f-02a4-491c-8e85-8144dc77a8fc,2025-04-15 17:55:18,9.55,Credit Card,Settled,ut quis laboris tempor incididunt aliquip ad ut
021c1001-9a88-4e20-b097-7f1113a18c39,c9f446a7-88c6-42e3-846f-ea877904bd11,2025-09-04 07:26:34,53.32,Cash,Settled,nostrud dolore et ut ut consectetur sed sit
f92a875e-4451-45fb-b563-cb35cee36afd,4a9afe0c-4dfe-41b2-844c-d704e103df03,2024-09-10 16:55:00,131.87,Credit Card,Settled,labore ullamco tempor ut sit dolor lorem enim
2d0d637f-2b0b-41a0-95bf-8ded388e85a2,15750f59-9e96-49f1-b5f7-1dc7a6aa6980,2024-11-30 18:43:46,53.13,Credit Card,Settled,exercitation et magna labore adipiscing ad sit lorem
192c79e8-b57f-462e-a55c-301214141192,48bff203-420f-4bb2-a9a5-d2ab97935ee2,2024-03-04 17:16:22,14.09,Credit Card,Settled,nostrud tempor labore commodo consectetur et minim laboris
325aa1ac-9b95-4621-8b10-d8bbc7e9212c,51120545-7411-4262-9bf2-5315c21bf516,2025-03-27 06:56:27,48.37,Credit Card,Settled,nisi dolore minim aliquip ea labore aliquip consequat
ac5f5aa1-3db3-4ec8-9f0d-96cdcea59168,4befbd36-1c7a-4f45-af5a-54b233916fa5,2024-10-16 18:05:15,28.48,Credit Card,Settled,dolore laboris ea aliqua ut ut minim incididunt
646c3da5-147a-4044-9c62-8956fb970c43,ad446cb8-33f5-45d4-a885-5813ed78014f,2024-05-15 07:55:11,35.56,Credit Card,Settled,incididunt laboris elit nostrud tempor nostrud adipiscing nisi
39ccfeb9-7b9e-49e9-8c4a-67ef71625bb5,7a4086f8-8472-4fb3-8ea1-ebf1125d8a6d,2024-12-23 20:04:20,59.13,ACH,Settled,adipiscing sit enim aliquip ea labore ut et
47b6211d-b27f-437b-b056-bd94d611a6e9,ff54858a-1f2c-4f2e-a870-32cbc82d6fa1,2024-07-20 05:53:45,98.55,ACH,Settled,elit nisi tempor ut consequat incididunt lorem do
4816c8ca-f1b5-476f-a981-68e899e8af80,ac80c8c4-d0e5-401c-8e64-e4e75d3a68fa,2025-02-17 16:17:28,101.34,Credit Card,Settled,ipsum veniam ad dolore elit amet incididunt ea
0d6e9ecd-c863-4aaf-814c-3edb78f774dd,b938726b-f361-422f-9b6b-0a3ad4f72539,2025-05-08 22:21:53,36.16,ACH,Settled,enim aliqua quis magna commodo consectetur nostrud adipiscing
1b31bd4d-4410-41f5-a6a9-9313e1a78271,e495a60e-33ca-4966-b5e4-aac84d200a54,2025-04-24 07:20:18,1.46,ACH,Settled,sed tempor ullamco nisi minim amet nostrud tempor
89fe8fc3-b530-4eb0-82db-8c8c5b21888f,95805c9b-3471-42bb-99c2-6bce2b4fa593,2025-01-02 03:02:10,45.55,Debit Card,Settled,incididunt ut dolore elit elit do aliquip aliqua
10222371-feb8-44df-88bc-fa531f140646,3ee99e4c-eb6c-4b25-bcf2-6e28ab970944,2025-09-12 06:42:04,18.71,Credit Card,Settled,amet lorem sit ullamco quis ut enim quis
72de640d-7b19-485f-9cb4-54588249f3e7,7d13162a-ba57-467f-b0f9-21f6e4f62ea6,2025-02-21 13:56:39,82.12,Credit Card,Settled,sed sit ut lorem dolore dolor amet sit
52fc1a06-2e3a-4f39-b596-6b7b06ab5905,301d0790-048f-48e7-950a-02665f6193b2,2024-05-15 19:30:05,8.39,Credit Card,Settled,labore minim ex magna elit ea dolore ipsum
40843994-b47c-46ad-9e9b-2fae10b5497c,3759fb88-cf9f-43f1-be94-a90e327ed7d9,2024-09-17 20:33:15,82.86,Credit Card,Settled,commodo tempor nisi adipiscing elit sit nostrud magna
92cfa0da-b317-499f-822d-0a2f759cf70b,6b6be472-5925-4e23-9fde-430f8f2c50fe,2024-05-10 16:57:15,111.57,ACH,Settled,nostrud incididunt minim enim ipsum eiusmod ut et
0148f29a-c41e-4846-baa3-44691480a3c7,c0862e0d-2054-44c0-80d2-3037c7324265,2025-06-24 04:01:31,46.21,ACH,Settled,consequat elit ea enim lorem dolor do veniam
239bd3ec-606c-474b-aa2f-ac6b9032106d,67ba5ccf-5de9-41e1-b133-637e23ba5954,2024-08-10 03:28:56,24.35,Credit Card,Settled,quis magna incididunt consequat incididunt magna aliquip ex
6f3e03cc-467b-4053-aa60-0fc739a21204,1173dab4-2742-4564-9966-0f0ba4908066,2024-01-11 21:12:57,19.91,Credit Card,Settled,nostrud consequat tempor commodo quis nostrud quis incididunt
43c6904d-7626-47b7-a359-16b806fc4786,57a1320f-8ac2-4c3b-82c8-003e96485011,2024-04-13 18:27:59,36.09,Credit Card,Settled,et minim nostrud lorem adipiscing aliqua labore et
a3cbb9ed-bdee-4f7e-bf5c-e66ea30590a0,a1169111-b480-486b-b589-86ba8dc919a2,2024-11-01 16:37:39,76.72,Credit Card,Pending,ipsum ex ea ut ut dolor elit tempor
c420a429-e336-457d-b91e-0e53a61ac672,be741147-a0f1-4ab9-bee2-c7f4af6cea25,2025-01-29 03:49:34,38.64,Debit Card,Settled,exercitation incididunt nisi ut sit tempor ullamco adipiscing
e1144dbc-9f7f-4c88-8133-a42fa4e9d15a,861530c9-cf64-474d-8323-8a79e3c00ad9,2025-07-05 20:30:57,31.21,Credit Card,Settled,et do sed ipsum aliqua aliquip dolore adipiscing
9181ef05-c142-40f3-be20-ef65359504e6,12797652-5c98-485a-ac6c-0dd44814b8b0,2024-07-06 08:43:19,89.35,Debit Card,Settled,et nostrud et consectetur nisi incididunt ea nisi
8cf8df6e-31cf-420d-adbd-13f276be2602,d4a7e350-0202-4791-8b07-4194b5b7eb90,2024-03-26 16:44:07,29.75,ACH,Pending,amet quis ut veniam minim nisi elit consectetur
d93995ce-8031-4432-abbb-fa2a1587f0b3,a1fedfba-068a-43dd-8972-2d1c861bd4df,2024-05-13 04:30:45,53.06,Debit Card,Settled,et laboris exercitation quis elit magna commodo amet
07d65f53-553c-40c0-bd51-76771414a9d4,7469c8a0-5f3f-4967-bf2f-9611dfcf8bc9,2024-02-27 04:50:16,12.97,Credit Card,Settled,minim sit ad amet do ea et et
e6273937-15c6-4b62-8085-2f1ed32f9a57,e6df27cf-4e4c-460e-a358-1b5e27c971a3,2024-02-02 04:14:39,33.64,Debit Card,Settled,ut incididunt ut aliqua amet sit adipiscing ut
e70304e8-f438-4a13-822a-223b7c452aff,b4ca14b2-8acc-4372-8553-cf05baf84fb0,2024-12-10 21:09:10,134.32,ACH,Settled,enim ipsum quis quis ipsum ut veniam dolor
3182b38b-1eca-43e5-b9e9-784e7c3d30d8,559a4055-055f-4750-9a08-d6ea90239cf0,2024-11-29 11:44:03,54.63,Credit Card,Settled,ut veniam nostrud nostrud sed incididunt exercitation ut
