respondent_id,submitted_at,city,age,gender,channel,nps,sat_overall,ease_of_use,cs_response_time,feature_importance,open_feedback
0352c10e-2a6e-4b83-93be-e129fa296b60,2025-06-11 22:42:07,Cincinnati,77,Man,Web,1,3,5,3,Quality,ullamco ad do consectetur lorem aliqua enim nostrud minim labore sit sit consequat amet
a337cc99-edbf-46e0-8560-b1adad1da1ca,2025-06-22 10:10:00,Louisville,54,Woman,Mobile App,0,5,5,5,Support;Speed;UI,veniam veniam sed exercitation dolor aliqua minim enim lorem minim ex lorem aliqua consectetur
0df8c9b8-1343-4b9f-955a-4ff085f3ec46,2025-08-13 12:02:32,Columbus,59,Woman,Web,7,4,2,5,Quality,ut minim ullamco ut aliqua consequat commodo eiusmod quis ipsum dolore ipsum eiusmod incididunt
7f7b6eac-3190-47be-ac2d-784f62c1d29a,2025-08-10 23:26:49,Cincinnati,35,Prefer not to say,Mobile App,5,5,1,1,Support;Quality,dolore exercitation consectetur dolore ea consequat elit commodo elit ad aliqua ut laboris et
614c8c90-e8eb-4d21-8680-8425568e2292,2025-06-02 00:56:10,Cincinnati,32,Man,In-person,7,3,5,6,Quality;Security;Speed,lorem exercitation ut et lorem exercitation sed consectetur tempor commodo magna exercitation eiusmod quis
8a0e708c-1d5b-404f-9564-90e259364025,2025-07-30 08:05:11,Cincinnati,21,Woman,Mobile App,5,1,4,5,Support;UI,consequat ad ipsum do ut aliqua incididunt ullamco ut aliquip dolor ullamco amet do
86b4ca65-08c9-46d8-821c-40c8e053399b,2025-07-04 00:58:31,Columbus,46,Man,Web,7,2,4,6,Integrations;UI,veniam amet ut consectetur laboris dolor commodo ut ipsum ut dolor do ea adipiscing
29be9635-1f2e-4a05-ae1e-e68add2264c0,2025-06-10 20:33:42,Cleveland,78,Man,Web,4,4,5,5,Price,dolor ut do sed ut veniam ex exercitation dolore aliqua exercitation tempor commodo ea
b45f931e-e88f-44f7-a656-72aa580a2b6d,2025-06-18 18:59:58,Louisville,18,Man,Mobile App,3,4,5,5,Integrations;Quality,consequat ut ipsum veniam aliqua nisi veniam aliqua commodo ad incididunt eiusmod dolor veniam
944e6965-4444-44d3-bf7b-46114789f82d,2025-06-11 04:08:37,Dayton,80,Man,Mobile App,8,5,5,5,UI,quis sed ex adipiscing aliquip ea labore ea aliquip ad enim exercitation magna ad
ac6d04a0-512e-4635-b337-9f2787ea7ef0,2025-09-02 09:06:08,Cincinnati,31,Man,Phone,8,4,2,7,Quality,eiusmod nostrud tempor consequat et ex tempor aliquip ex lorem ut do magna minim
19274f9b-9ef8-48f9-af8d-4ca0db88c0a2,2025-09-07 01:08:18,Columbus,46,Woman,Mobile App,9,3,1,4,Integrations;Price,enim laboris nisi lorem elit dolor minim veniam enim et consequat consequat ut ad
4209dd24-378a-4963-8ed8-4a8b0c02d3af,2025-07-16 08:28:45,Cincinnati,34,Man,Web,8,3,4,1,Quality;Support;Integrations,commodo ut amet minim ut sit elit consequat sed ea lorem aliquip ex exercitation
836b7c4f-bfd6-47ba-b01c-80a615ad50bc,2025-08-17 14:41:23,Columbus,26,Man,Web,5,4,4,2,Support,ex quis adipiscing incididunt dolore consectetur elit veniam tempor incididunt consectetur amet ullamco laboris
928babe5-58bb-4919-be8d-7c7b82296b00,2025-08-24 19:29:58,Louisville,23,Woman,Web,5,3,3,6,Support;Security,amet ad tempor elit ipsum laboris nostrud ex enim dolor ut aliqua enim aliqua
9c2a9207-181f-41b4-9924-4f383db2c9d4,2025-06-30 11:00:17,Cincinnati,78,Woman,Mobile App,9,4,5,3,Integrations,ut consequat labore ut eiusmod incididunt nisi ut ad ut laboris nisi magna ullamco
447d5755-2501-435f-b694-7e67ccb8fb53,2025-07-27 23:30:02,Cincinnati,68,Man,In-person,10,4,3,4,UI;Quality;Integrations,sit eiusmod exercitation ex laboris magna et aliqua tempor ea et exercitation consectetur quis
de1a6d4e-1f37-409a-910d-154f35cfd7c0,2025-06-13 06:25:38,Cincinnati,35,Prefer not to say,Web,7,2,5,3,Quality,nisi magna labore incididunt aliqua incididunt sit ut incididunt laboris ipsum tempor eiusmod ad
df8d07d2-6def-4257-9587-4adafc4b5ad6,2025-07-02 07:35:11,Cincinnati,30,Woman,Web,2,5,3,2,UI;Price;Security,et adipiscing exercitation do et ut eiusmod laboris sed veniam nostrud ipsum aliquip ut
e2561417-8bae-4f8e-9992-753fb5b2ada5,2025-08-24 02:52:44,Cincinnati,38,Man,Web,5,4,4,4,UI;Integrations;Quality,eiusmod ea eiusmod labore aliquip elit adipiscing ut tempor ipsum aliquip nostrud labore consequat
61dd2088-c31b-4311-b774-f8382ff68ff3,2025-07-15 23:59:17,Columbus,73,Man,In-person,2,3,4,3,UI,ut incididunt lorem consectetur exercitation ex ut aliquip amet tempor nisi enim ex amet
9f498782-4e0c-442e-908a-51b3f9912801,2025-08-24 16:12:12,Dayton,30,Man,Mobile App,3,3,3,5,Security;Support,elit aliquip ut minim veniam elit labore minim dolore magna ea consectetur adipiscing lorem
eeb7d773-b8eb-4e1f-a6cc-afe6bdbabe1e,2025-08-07 07:59:27,Cincinnati,75,Woman,Web,5,4,3,5,Security,consequat et ullamco veniam quis eiusmod dolore veniam nostrud commodo ullamco lorem labore ut
9c6de036-c8fd-4e21-af12-02429dd70e40,2025-07-14 18:42:16,Columbus,47,Woman,Mobile App,7,4,3,5,Speed;Support;Security,sit et ipsum dolore sed magna tempor aliquip tempor eiusmod et ea sed tempor
854509ce-355d-40bc-bfdb-3d4a5c806f05,2025-07-24 16:37:29,Columbus,78,Woman,Mobile App,5,4,4,5,Quality,laboris ut consectetur veniam eiusmod exercitation magna nisi commodo ut dolor sit et do
a4be0a44-d9af-4193-b2b2-0a4f52f62a5b,2025-08-30 03:48:44,Columbus,47,Woman,Mobile App,10,4,4,5,Quality,labore ipsum amet amet ex commodo ex ut commodo aliquip aliqua incididunt enim nostrud
78d5b1a6-3932-4385-bd72-10656978c30f,2025-07-09 14:30:50,Dayton,45,Man,Web,8,5,4,3,Support;Quality,commodo nostrud enim sed et do amet veniam labore veniam adipiscing laboris sit ipsum
68c32ae3-dd74-410d-a3e1-90319c945d9a,2025-08-11 20:03:28,Dayton,23,Man,Web,8,4,4,3,Security,ut exercitation et laboris ut incididunt ad aliqua ut dolore aliquip veniam ex veniam
0297aab8-b713-461e-9d5f-b8a8b58ea373,2025-07-01 17:17:27,Cincinnati,85,Woman,Web,8,4,4,4,Integrations;Quality,ut ad ipsum ut labore eiusmod sed dolore et ullamco sed ex quis quis
683add1c-de79-4d16-bd95-08b4f5de3e0a,2025-07-07 23:13:28,Louisville,26,Man,Mobile App,10,4,2,6,Quality,sit aliquip ad ad ut nostrud nostrud consequat amet commodo ut quis tempor ullamco
0f0a7c6a-a8d1-4d4e-a2b6-dcac8bdd8fc7,2025-07-04 22:22:49,Cincinnati,63,Man,Mobile App,8,2,3,3,Security;Integrations,elit ipsum aliquip ipsum sit nostrud amet eiusmod adipiscing sed ad incididunt dolore et
9a85326c-5aa4-402a-a933-29f6bdfe9f57,2025-07-07 20:12:09,Columbus,74,Woman,Web,4,3,2,2,Integrations;Speed,et elit ullamco adipiscing nisi amet minim amet do laboris commodo labore consequat sed
82f97879-964b-4071-a42b-5bd0a73aa336,2025-07-19 08:48:19,Cincinnati,39,Woman,In-person,8,3,2,1,Support;Security,elit et ex ut lorem amet magna consectetur ea ea nostrud et veniam ad
57dfda1e-9e22-4a4f-8f37-a5d249dee73a,2025-08-30 11:54:45,Cleveland,44,Man,Mobile App,2,4,5,2,Speed;Quality,ea ea lorem consequat ut minim do sed eiusmod ut dolore amet laboris ipsum
0255b3d3-2fd6-4ea9-8186-13f84d67a621,2025-06-18 11:13:53,Cincinnati,82,Woman,Web,8,4,3,2,Quality;UI;Integrations,ut commodo consequat enim aliquip aliqua eiusmod incididunt labore nisi enim amet consectetur ut
c9d6b3c1-7b2c-4c70-b411-f325a8f53d0f,2025-07-19 04:06:54,Cincinnati,48,Man,Web,7,5,4,3,UI;Security;Price,ea adipiscing laboris sed sed ut ullamco sed nisi elit magna sed et consectetur
129dceaf-1852-469a-855e-92cf109ca9cf,2025-06-20 06:02:25,Dayton,54,Woman,Web,8,3,2,7,Integrations;Price;UI,nostrud veniam ullamco dolor dolore labore aliqua nisi commodo ut nisi amet ut ut
d62f49f5-4e29-4bc3-b869-4ea8b2730fd8,2025-07-03 17:04:03,Dayton,56,Woman,Web,2,3,2,7,Security;Quality,lorem aliqua ex lorem labore laboris ullamco eiusmod aliqua ut ut sit et laboris
e97c8121-4279-411a-9939-48f8dcd63201,2025-07-14 19:29:45,Cincinnati,23,Woman,Phone,3,5,5,5,Price;Quality;Speed,eiusmod ipsum consequat do elit do tempor consequat consequat commodo ea lorem sit consectetur
f82b0812-379c-4f79-8c52-f18180573af7,2025-07-18 00:45:47,Cincinnati,79,Man,In-person,8,3,3,5,Price;Security,dolore ut quis ad ex ipsum commodo tempor tempor incididunt aliqua tempor aliquip ipsum
00ca976f-540a-4a4e-a917-bc5e071a82b0,2025-08-18 03:27:27,Cleveland,58,Man,Mobile App,9,3,3,2,Security,labore ut enim amet ut veniam ipsum ut ut aliquip exercitation dolor ut nisi
40d16297-05aa-489d-8a49-4772ea6fa232,2025-07-14 01:39:55,Cincinnati,66,Woman,Mobile App,6,2,2,1,Security;Integrations;UI,incididunt tempor dolore exercitation aliqua tempor adipiscing lorem ut consequat dolore ullamco consectetur lorem
82ec906f-8155-4aed-b302-4a887ab019b1,2025-08-03 08:31:12,Columbus,70,Non-binary,Phone,7,3,3,4,Speed;Quality,tempor consectetur ullamco consectetur veniam ut sit lorem exercitation tempor adipiscing labore ut veniam
67feaccf-5683-4546-ab97-193c678c7ff7,2025-07-22 15:00:55,Dayton,57,Man,Mobile App,10,3,3,3,Integrations,amet commodo sit minim consectetur dolore amet commodo ut dolor commodo ex nisi ea
b009898c-f475-462b-b213-6278fccc374d,2025-06-09 16:18:14,Cincinnati,51,Man,Mobile App,5,2,2,5,Speed;Security;Quality,ipsum eiusmod magna exercitation aliquip sit ad aliqua ea dolor incididunt ut sed veniam
a152d03a-1f03-4c65-90bf-8f1aaeede1e1,2025-08-09 02:48:14,Cincinnati,64,Man,In-person,1,4,4,4,Support;Quality,ex ad et ut aliqua commodo consequat labore enim aliquip minim ullamco minim aliquip
b1ed3231-f571-42ba-868d-9e7d1f4deb2e,2025-09-03 21:11:44,Cleveland,30,Man,Mobile App,7,3,5,4,Support;Price,elit tempor aliquip minim do veniam amet ut minim amet ullamco elit ullamco sit
ecf57832-3a1b-4a74-98b2-54640fb6ba5a,2025-08-25 10:10:42,Louisville,40,Man,Phone,2,2,2,1,Price;UI;Quality,elit et ad dolor commodo et ut quis minim tempor enim sit sed ullamco
51cd3e5a-4442-472d-841a-7b53f467427f,2025-07-16 23:28:57,Cleveland,33,Man,Mobile App,2,4,3,1,UI;Price;Support,do laboris ea exercitation nisi sit sit labore amet eiusmod ipsum quis incididunt ut
8f3ccaf4-a896-4177-ad5d-a925cfb09162,2025-09-09 11:10:41,Columbus,28,Man,Mobile App,6,4,5,4,Quality,exercitation aliquip et elit ullamco minim ex incididunt quis enim minim sed minim adipiscing
3bc2fdb6-7ce2-40da-a9ba-8bf90736f662,2025-06-12 22:57:14,Columbus,66,Man,Mobile App,5,3,4,6,UI,ad ipsum tempor exercitation exercitation quis laboris ea aliqua ut veniam ex ut labore
912eb9de-5513-4078-ba35-d48355dd5d68,2025-08-31 03:07:11,Cincinnati,66,Woman,Web,4,1,2,4,Security;Integrations;Speed,dolor ut tempor laboris ad sit lorem laboris dolor ut consectetur nostrud ea sed
0e5854b4-2c19-48ea-b332-e98e7463087b,2025-08-03 08:20:25,Cincinnati,53,Man,Web,9,4,2,4,Support;UI,incididunt quis aliquip ut ut commodo consectetur aliqua dolore sed quis magna sit adipiscing
9ac09f28-b9a8-4298-bdbf-ff3a59c4d65e,2025-06-24 19:21:41,Cincinnati,77,Man,Web,8,2,4,5,Security,enim ullamco elit aliqua sit lorem consequat incididunt tempor ad consequat magna veniam minim
59246f1c-ad0d-4bda-b69b-6aceec4d4718,2025-08-05 19:23:52,Cincinnati,77,Woman,Web,9,3,2,6,Quality;Support,ad quis sed sed eiusmod ad ut incididunt exercitation laboris ea dolore consequat commodo
82e98981-f2b6-4c7d-99e3-9d273a922415,2025-09-09 05:21:21,Louisville,50,Man,Mobile App,8,2,4,7,Price;Quality;Speed,dolor do ipsum amet sed ut labore nisi eiusmod adipiscing labore commodo ex dolor
6bb7bb1e-2871-40e0-bd43-8018e14c4a81,2025-06-03 22:41:17,Dayton,84,Man,Web,3,4,2,3,Security,dolor amet ut veniam et consectetur quis exercitation veniam ad dolor sit ipsum ex
97419890-ccfd-4547-a8c3-91d68a62d6b9,2025-07-25 00:33:14,Dayton,79,Woman,Phone,8,4,3,4,Support,veniam et laboris dolore consequat veniam sed ipsum exercitation ipsum tempor laboris lorem ut
18658ecf-c2d8-499b-a4f0-31fa88685bce,2025-08-28 13:08:10,Columbus,39,Woman,Mobile App,7,4,4,6,UI;Support,ad veniam aliqua ea enim commodo enim ea magna quis incididunt eiusmod ipsum tempor
9e92f93e-8c79-4e34-8f59-2caf18e92729,2025-08-01 20:42:08,Cleveland,79,Man,In-person,10,3,4,2,Security;Quality;UI,magna minim lorem ut dolore amet consequat minim do exercitation sit dolor exercitation consectetur
38b8d684-9e42-4f49-b945-d18121b17d35,2025-09-11 12:20:40,Columbus,52,Woman,Web,4,3,1,4,Security,lorem ut enim aliquip elit laboris ut enim et ad amet aliqua ullamco exercitation
3ef1c4ae-1145-4d89-92e6-ca25428f3cee,2025-07-15 11:21:25,Cincinnati,40,Woman,Mobile App,5,4,5,3,Price;Quality,ut adipiscing ut do sit nostrud consectetur aliquip adipiscing et ut quis amet amet
0e0c9899-b552-4639-a331-164bde394faf,2025-07-07 22:54:41,Cleveland,55,Woman,Web,4,4,3,4,Speed;Quality;Security,veniam ullamco ut amet nostrud ut aliqua labore sed laboris ex nisi ea aliquip
78f27d43-75e4-4d6e-bf10-48d578073c21,2025-07-29 02:02:43,Cleveland,76,Man,Mobile App,7,5,2,4,Support;Price;Integrations,ipsum elit ut et incididunt commodo adipiscing do ex sit ut nisi consectetur nisi
0a613b6e-d7f4-4b9f-bb11-f9deb23cd1e8,2025-08-02 05:26:33,Cleveland,33,Man,Web,4,1,5,1,Integrations;Quality,lorem magna elit incididunt enim amet aliqua aliquip consectetur adipiscing ut ad nostrud nisi
8e8108ca-b03c-417c-bef0-ffa28c346f8e,2025-08-24 15:03:33,Louisville,43,Man,Web,9,4,3,2,Speed,quis ullamco do ullamco aliqua veniam nostrud ad ut aliquip tempor nisi dolore quis
4bff21c0-caa6-43ef-9fff-cf4e99bb951b,2025-08-01 00:57:33,Louisville,25,Woman,Web,9,3,3,5,Quality;Security;Price,quis dolor sed commodo et eiusmod ut ad labore ut ad dolore aliquip magna
6eea137a-f6d8-43eb-a886-8b777d4ed77b,2025-07-14 18:23:24,Louisville,75,Man,Web,9,4,4,3,Integrations,labore ea et sit tempor labore labore exercitation amet ut lorem commodo commodo laboris
83aeee31-479a-4922-968c-445b6047e5da,2025-08-03 12:50:36,Louisville,50,Man,Web,6,2,4,4,Support;Security;Quality,aliquip dolor magna do do dolore elit elit ullamco ut ea consequat enim eiusmod
070d5867-1455-41ed-a8b7-25141c8371f7,2025-07-18 17:25:14,Dayton,47,Man,Mobile App,7,4,4,1,Integrations;Quality;UI,ullamco nisi minim ipsum do laboris amet ut sed consequat consequat enim exercitation et
a4ddbbd6-bca1-4d14-b602-203f4343ac03,2025-08-21 00:58:46,Louisville,36,Non-binary,Web,8,4,2,1,Price;Security;Speed,dolore lorem amet consectetur tempor nostrud eiusmod nostrud magna tempor commodo veniam sit enim
b14136c1-dd81-482a-8113-23df8735e83d,2025-07-26 04:31:59,Columbus,35,Woman,Web,6,2,5,3,Security,quis minim ut sed ut ea quis consequat dolor ad dolor ullamco elit aliquip
dfa9c541-51e6-4a62-8f2b-c2c115936360,2025-06-02 21:03:38,Cincinnati,67,Man,Mobile App,2,3,3,6,Support;Security;Integrations,eiusmod dolore labore ipsum nisi adipiscing ut ut adipiscing ipsum ut ea ad ullamco
dd24a2f4-a151-468e-ba32-7ae00e9c5925,2025-07-08 07:57:04,Cincinnati,23,Man,Phone,7,5,1,6,Quality;Security;Integrations,sed ad et et amet ex aliqua sit dolor ut ut elit aliqua ipsum
918106b9-2eae-4386-a341-7717df270681,2025-06-29 22:08:34,Cincinnati,39,Man,Phone,6,2,4,1,Support;UI;Speed,adipiscing dolor dolore ex ex lorem exercitation tempor labore et do elit ex do
b22ece7a-cdfb-41d7-b6ed-0922100d9ef2,2025-08-19 15:37:17,Dayton,55,Woman,Web,6,1,5,3,Quality,elit aliqua laboris ut ullamco ea ipsum consectetur laboris sed do commodo nostrud ut
9ef63d6c-254b-445d-9575-96f030cef50e,2025-06-13 23:58:51,Louisville,20,Woman,In-person,3,3,4,5,Quality,ex eiusmod do ut sed ea exercitation ut sed labore enim et exercitation ex
982a7420-eed6-45ca-901a-e748b769780c,2025-07-28 15:58:47,Dayton,35,Woman,Web,4,1,1,5,UI,adipiscing exercitation ut aliquip incididunt commodo exercitation sit sit ipsum amet veniam minim aliquip
3dc8f6ee-ca87-43ae-a281-6a4f47c8b1ef,2025-06-27 16:54:45,Cincinnati,41,Woman,Mobile App,4,4,5,4,Security;Support,lorem adipiscing ea ex ex consequat commodo et quis ut ut do nostrud ad
6bc329c5-4338-4395-adde-efc3f33a902c,2025-06-12 06:58:40,Louisville,45,Woman,Mobile App,5,4,3,1,Price,sit adipiscing quis ea veniam consectetur sed ea amet do ad minim sit aliqua
641370c1-ebf4-4a14-9678-8072d78996db,2025-07-12 23:52:49,Cincinnati,46,Man,Phone,6,4,5,4,Quality,nostrud adipiscing do magna minim consectetur ea exercitation magna exercitation elit magna ex nostrud
75c585b1-70d9-4aa6-aab6-68df9121d19d,2025-07-06 21:01:00,Cincinnati,72,Man,Phone,2,3,3,4,UI;Support,nisi enim nostrud eiusmod ea labore incididunt ipsum sit sit enim incididunt sit nostrud
3153cb5b-b84a-4b0d-9a26-74ecd758672f,2025-09-01 16:50:45,Cincinnati,64,Woman,Mobile App,7,1,2,2,Quality;Security;UI,laboris consequat lorem dolor do ut commodo nostrud ut consectetur lorem et consequat ex
192aed27-c7dd-49d5-91e7-318575e828af,2025-08-12 07:20:16,Cincinnati,70,Man,Web,8,5,1,5,Quality;Speed;Price,ex veniam ipsum magna amet exercitation sed consectetur ullamco ad adipiscing sed laboris magna
2853806e-6c10-4bf6-b949-a05b09dba4e3,2025-08-25 00:09:24,Cincinnati,76,Woman,Mobile App,2,1,4,4,Quality;Integrations;Price,ipsum labore veniam consectetur ut nostrud labore ut nostrud adipiscing elit laboris enim elit
c0f8e99f-d527-4fdd-a714-eae02695f5b8,2025-08-23 05:12:32,Louisville,74,Man,Web,9,2,4,7,Security,consequat labore consectetur dolore dolor elit sed aliqua ut labore ut commodo ut commodo
60ab5b77-6ce1-44c9-8287-23118ca08e05,2025-07-28 05:21:58,Cincinnati,38,Man,Mobile App,8,5,2,3,Price;Speed,commodo ut consequat amet ipsum ad dolore quis ipsum amet elit aliqua ullamco consectetur
8f9b75cd-7e15-496a-8baf-0a570f92317e,2025-07-06 18:14:12,Columbus,41,Man,Phone,10,3,3,1,Price;Speed,laboris nostrud quis lorem ullamco incididunt consectetur ullamco aliqua do ex enim enim et
90c2e73f-c148-471a-ad84-9fc5bc32da22,2025-08-03 00:50:31,Cincinnati,36,Woman,Mobile App,9,1,1,5,UI;Price;Security,adipiscing nostrud ipsum exercitation eiusmod commodo quis sit ut elit labore ipsum elit quis
f98c6e7c-a030-43f2-a884-024c7b2c5b00,2025-06-04 00:03:44,Cincinnati,51,Woman,Web,10,4,5,5,UI,nostrud exercitation exercitation quis nisi laboris lorem eiusmod quis tempor ipsum magna nisi adipiscing
97b16775-e32e-4131-b61a-89a24ec5d3ef,2025-07-20 19:57:20,Columbus,21,Prefer not to say,Mobile App,3,2,2,5,Quality;Security,aliquip dolore consectetur aliquip et exercitation adipiscing aliquip eiusmod et tempor dolor et incididunt
99307a78-d5c5-46bc-ad1c-a7f521366106,2025-08-19 03:38:12,Columbus,70,Man,Mobile App,8,2,4,4,Price;Support,commodo aliquip eiusmod aliqua nisi enim do sed lorem ut aliqua nisi magna aliqua
ab1de434-7f1d-4596-ab0a-ca1167b229d3,2025-08-29 06:00:04,Cincinnati,22,Woman,Web,8,3,2,7,Integrations;Support,do commodo lorem enim ut ea veniam do sit ad exercitation ut nisi magna
d2e6428d-31be-4e3c-8bca-dd81deca7b07,2025-09-05 15:42:14,Louisville,30,Woman,Mobile App,9,2,4,4,Support;Quality,tempor dolor quis exercitation enim consectetur ut incididunt incididunt veniam aliqua do ut consectetur
d5287bc3-cc09-43e5-9679-667a5c87a930,2025-09-06 17:25:37,Cincinnati,40,Woman,Mobile App,9,5,4,6,Speed;Price;UI,ullamco aliqua sit laboris dolor consequat aliquip incididunt aliqua dolore dolore consequat incididunt ut
c3543047-4caf-4a54-b085-d69ad27f3010,2025-07-31 05:17:30,Cincinnati,77,Woman,Mobile App,6,5,3,3,Support;Quality;UI,ut exercitation amet nisi aliqua adipiscing aliqua ad amet tempor ut dolor aliqua exercitation
1b83edcb-ae44-4307-85be-130db9b8622b,2025-07-16 19:45:33,Columbus,58,Man,Mobile App,9,2,2,5,Price,quis ut exercitation eiusmod elit dolor ullamco tempor tempor ad elit quis nisi adipiscing
9114ee60-52a4-46ea-add8-3864a8ec089c,2025-08-17 00:57:35,Columbus,26,Man,Web,7,3,4,3,Price;UI,dolor commodo consequat elit ut ipsum ipsum commodo tempor labore aliqua consequat minim nisi
ea14cdef-0c3d-4365-b4bc-2bf3293cb232,2025-06-08 08:27:43,Dayton,52,Non-binary,Mobile App,7,1,3,6,Security,laboris amet consequat lorem nisi aliquip ad sit incididunt amet incididunt aliquip lorem dolor
038617ff-6de1-4ceb-8fd8-5c88e9b9828b,2025-08-05 16:17:13,Cincinnati,76,Man,Mobile App,5,4,3,3,Security;Speed;Price,incididunt do ex ad quis amet quis ad magna et tempor ut quis ea
dd472b9b-93f2-42c7-8310-df9bbb23222c,2025-07-05 19:20:36,Cincinnati,64,Non-binary,Mobile App,7,1,4,5,Price;Security,aliquip ullamco amet et ipsum aliqua elit ut exercitation dolor sit consectetur ut enim
d008234f-e15f-4a2e-8462-74e0ecfc1f74,2025-06-15 11:20:43,Dayton,79,Man,Mobile App,4,3,3,2,Security;Integrations;Quality,veniam ex lorem ipsum tempor laboris ut tempor consequat eiusmod amet minim lorem magna
054e0386-15d2-4acc-92d7-3ad46653d746,2025-07-10 01:16:02,Cincinnati,55,Woman,Mobile App,5,5,4,4,Price;Security;Speed,lorem aliquip commodo magna amet elit incididunt adipiscing ad commodo aliqua incididunt consequat labore
7fa98209-f288-45ea-bb85-cc347d5e4bef,2025-07-13 11:20:50,Cincinnati,55,Woman,Web,7,2,3,6,Price,ex incididunt commodo lorem eiusmod laboris ea lorem quis et laboris amet adipiscing aliquip
5def8b50-9175-4ebe-8346-6476d52ff206,2025-08-25 06:43:19,Dayton,40,Woman,Web,8,3,3,2,Price;Speed;Integrations,elit ut consequat lorem consectetur ad magna minim aliquip ullamco aliquip ut tempor enim
c34996cf-6058-42ae-9650-e71efb70c982,2025-07-03 17:39:39,Cincinnati,39,Woman,Mobile App,5,3,3,2,Support,dolore nisi commodo eiusmod sit laboris eiusmod ut ex ad magna exercitation do sed
514d7f79-32d6-440f-88c1-73f055d4dd74,2025-08-29 22:00:22,Columbus,39,Woman,Mobile App,8,3,3,5,Price;UI;Support,dolor aliqua tempor laboris do sit sed ad elit sed dolore do ut do
a9007a6b-7624-4fff-9696-931844e17d8f,2025-06-23 19:48:35,Louisville,64,Non-binary,Mobile App,7,5,5,4,Price,lorem veniam tempor aliquip laboris nisi ipsum adipiscing quis et aliquip enim ullamco ex
